Time [s],Packet ID,MOSI,MISO
0.07331325,0,0x0,0x0
0.07332825,0,0x0,0x0
0.073346,0,0x0,0x0
0.073361,0,0x0,0x0
0.07338125,1,0x0,0x0
0.07339625,1,0x6,0x0
0.0734135,1,0x2,0x0
0.07342825,1,0x5,0x0
0.07344525,1,0xA,0x0
0.07346,1,0x5,0x0
0.073477,1,0x3,0x0
0.0734915,1,0xC,0x0
0.073509,1,0x4,0x0
0.07352375,1,0x5,0x0
0.0735435,2,0x0,0x0
0.0735585,2,0x1,0x0
0.073576,2,0x4,0x0
0.07359075,2,0x2,0x0
0.07361175,3,0x0,0x0
0.07362675,3,0x2,0x0
0.07364425,3,0x0,0x0
0.07365925,3,0x0,0x0
0.0736805,4,0x0,0x0
0.07369575,4,0x3,0x0
0.07371275,4,0x0,0x0
0.073728,4,0x7,0x0
0.07374825,5,0x0,0x0
0.0737635,5,0x4,0x0
0.07378075,5,0x0,0x0
0.073796,5,0x0,0x0
0.07381725,6,0x0,0x0
0.07383225,6,0x7,0x0
0.07384925,6,0x0,0x0
0.07386425,6,0x0,0x0
0.0738855,7,0x0,0x0
0.07390025,7,0x8,0x0
0.073918,7,0x0,0x0
0.073933,7,0x0,0x0
0.07395425,8,0x0,0x0
0.073969,8,0x9,0x0
0.0739865,8,0x0,0x0
0.0740015,8,0x0,0x0
0.07402275,9,0x0,0x0
0.07403775,9,0xA,0x0
0.074055,9,0x0,0x0
0.07407,9,0x0,0x0
0.07409125,10,0x0,0x0
0.074106,10,0xB,0x0
0.07412325,10,0x0,0x0
0.0741385,10,0x1,0x0
0.07415925,11,0x0,0x0
0.07417425,11,0xC,0x0
0.0741915,11,0x2,0x0
0.0742065,11,0x1,0x0
0.07422725,12,0x0,0x0
0.07424225,12,0xD,0x0
0.07425925,12,0x0,0x0
0.0742745,12,0x5,0x0
0.074295,13,0x0,0x0
0.07431,13,0xE,0x0
0.074327,13,0x0,0x0
0.07434225,13,0x1,0x0
0.074363,14,0x0,0x0
0.074378,14,0xF,0x0
0.07439475,14,0x5,0x0
0.0744095,14,0x0,0x0
0.07443075,15,0x1,0x0
0.0744455,15,0x0,0x0
0.074463,15,0x9,0x0
0.0744775,15,0xE,0x0
0.07449825,16,0x1,0x0
0.074513,16,0x1,0x0
